!0023	2
.	1
000000	4
0018	2
0025	1
0029	1
0065	2
01030	1
01040	2
01060	1
01121	1
01124	1
011712	1
01569	1
01581	3
01701	6
0172	5
01886	5
01923	34
01940	1
02021	1
02062	1
02108	1
02109	2
02110	12
02114	1
02116	33
02118	1
02139	1
02146	1
02169	5
02184	2
02189	1
02199	1
02210	12
02359	1
02451	5
02453	2
02454	1
02492	1
02653	2
02720	2
02745	2
02840	2
02895	11
02896	1
02903	2
02965	1
03079	1
03087	1
03773	2
03801	1
03842	2
04013	1
04101	8
06023	2
06026	1
06033	1
06040	1
06042	5
06052	2
06107	1
06141	1
06460	3
06482	1
06489	5
06511	4
06606	2
06611	1
06612	1
06613	1
06710	1
06755	1
06776	2
06784	2
06807	9
06810	2
06811	4
06824	4
06825	3
06830	19
06831	5
06840	1
06850	9
06851	28
06855	1
06873	1
06877	36
06878	2
06880	13
06883	5
06890	1
06890-107	2
06901	7
06902	12
06905	3
06907	1
07002	11
07003	4
07004	4
07005	6
07008	1
07009	4
07010	6
07011	1
07012	36
07013	2
07014	3
07016	11
07017	4
07018	1
07020	4
07024	111
07026	13
07028	1
07029	3
07030	25
07031	2
07032	3
07033	1
07036	6
07039	8
07042	2
07044	1
07046	2
07047	44
07052	3
07054	98
07055	23
07057	3
07059	2
07062	1
07065	1
07068	1
07070	2
07071	15
07072	121
07073	119
07074	1
07078	11
07079	2
07080	4
07081	8
07082	2
07083	5
07086	2
07087	5
07090	5
07091	1
07092	43
07093	35
07094	22
07095	10
07096	11
07101	1
07102	42
07103	2
07104	1
07111	87
07201	2
07224	1
0730	2
07302	27
07305	3
07306	6
07307	6
07309	3
07311	4
07401	6
07405	1
07420	1
07424	3
07430	19
07446	2
07450	3
07452	6
07458	10
07462	1
07470	13
07480	1
07495	3
07501	1
07503	4
07506	1
07508	7
07511	3
07512	5
07514	1
07601	6
07603	1
076032	1
07604	4
07605	4
07606	1
07608	1
07610	1
07621	1
07624	6
07626	2
07628	1
07630	1
07631	13
07632	26
076321	1
07635	1
07643	8
07644	2
07645	10
07646	1
07647	56
07648	1
07649	1
07650	3
07652	59
07657	20
07660	4
07661	3
07662	3
07663	1
07666	99
07670	1
07675	7
07676	1
07677	2
07701	8
07716	6
07719	3
07722	2
07723	1
07726	25
07727	4
07728	1
07730	36
07731	2
07733	9
07736	1
07737	1
07738	1
07746	4
07747	7
07748	7
07751	2
07753	3
07762	4
07764	1
07795	1
07820	1
07826	1
07869	1
07901	1
07905	1
07921	12
07928	1
07931	4
07936	7
07960	10
07980	7
07981	1
080101	1
08016	3
08030	1
08034	1
08054	30
08057	5
08312	1
08502	1
08510	2
08525	2
08527	7
08540	6
08542	4
08547	1
08551	1
08553	2
08559	1
08611	1
08619	1
08691	1
08701	44
08724	1
08732	1
08736	1
08738	1
08742	2
08755	1
08759	1
08807	1
08810	1
08816	8
08818	3
08820	4
08831	28
08837	16
08840	1
08844	1
08852	18
08854	3
08857	3
08858	1
08869	1
08873	2
08879	1
08882	1
08886	1
08901	36
08902	9
09401	1
09804	1
1	3
10	1
100	3
1000	2
10000	1
100001	15
100002	3
100003	1
100004	1
100005	1
100007	2
100009	4
10001	2362
10001-582	2
100010000	1
100011	3
100012	5
100013	4
100016	4
100017	1
100019	4
10002	641
100022	4
100023	2
100025	8
100027	2
100028	1
100029	1
10003	1878
10003-122	1
100032	2
100033	1
100035	3
100036	2
100038	2
10004	237
10005	267
10006	218
10007	1378
100071	1
10008	4
10009	663
10009-840	1
1001	9
10010	940
10011	1211
100115510	1
100119	2
10012	747
100124616	1
10013	1262
10013-243	1
10014	736
10014-	1
100144810	1
10015	4
10016	2060
10016-504	1
100161	1
100163	1
10017	1592
100176	2
10018	1544
10018-481	2
100180	1
100183	1
10019	2227
10019-111	3
100197	2
1002	3
1002.	1
10020	121
10021	1125
10021-35	1
100218	3
10022	2344
10022-165	2
10022-311	5
10023	1383
100237	3
10024	972
100242	1
10025	907
100257629	1
10026	162
10026-357	2
10027	609
10027`	3
10028	763
100287	3
10029	406
100296	1
1003	11
10030	145
10031	263
10032	243
100321	3
10033	245
10034	178
10035	154
10036	1173
10037	146
10038	1172
10039	96
1004	2
10040	133
10041	44
10043	3
10044	47
10045	1
10048	2
10049	1
10054	1
10055	6
10056	1
1006	1
10063	2
10065	879
10065-770	15
10066	2
10069	33
1007	3
10075	561
100750167	1
10076	1
1008	3
10080	1
10082	1
10085	1
1009	2
100919	1
10100	1
10101	1
10103	48
10104	21
10105	13
10106	63
10107	38
1011	2
10110	58
10111	136
10112	16
10113	1
10114	1
10115	6
10116	7
101161	1
10118	45
10119	141
10120	71
10121	44
10122	23
10123	71
10124	2
10125	1
10128	722
10128-684	1
10138	3
1014	2
1015	1
10150	9
10151	47
10152	20
10153	37
10154	163
10155	66
10156	6
10157	1
10158	18
10159	4
10163	5
10165	70
10166	80
10167	7
10168	32
10169	23
1017	1
10170	138
10171	18
10171-	2
10172	49
10173	3
10174	34
10175	13
10176	24
10177	39
10178	21
