	3
139 STREET	318
139TH STREET	2
13TH AVENUE	1
13TH STREET	13
14 AVENUE	244
14 ROAD	39
14 STREET	242
140 AVENUE	85
140 STREET	79
140 TH STREET	2
140TH ST	3
140TH STREET	5
141 AVENUE	98
141 ROAD	8
141 STREET	51
1415 RICHMOND AVENUE	1
141ST AVE	1
141ST AVENUE	5
141ST ST	1
142 AVENUE	2
142 ND STREET	1
142 PLACE	21
142 ROAD	3
142 STREET	129
142 WEST 72 STREET	4
142ND PL	1
142ND PLACE	1
143 AVENUE	26
143 ROAD	23
143 STREET	342
143RD AVENUE	2
143RD ST	2
143RD STREET	7
144 AVENUE	80
144 DRIVE	4
144 PLACE	97
144 ROAD	16
144 STREET	261
144 TERRACE	10
144TH ST	1
144TH STREET	2
145 AVENUE	58
145 DRIVE	16
145 PLACE	3
145 ROAD	15
145 STREET	456
145TH ROAD	1
145TH ST	1
146 AVENUE	11
146 DRIVE	7
146 ROAD	19
146 STREET	793
146TH ST	1
146TH STREET	3
147 AVENUE	49
147 DRIVE	21
147 PLACE	64
147 ROAD	12
147 STREET	241
147TH ROAD	2
148 AVENUE	36
148 DRIVE	23
148 PLACE	1
148 ROAD	36
148 STREET	345
148TH ST	1
149 AVENUE	55
149 PLACE	25
149 ROAD	14
149 STREET	145
149TH STREET	4
14TH AVE	7
14TH AVENUE	17
14TH RD	2
14TH ROAD	2
14TH ST	2
14TH STREET	6
15 AVENUE	153
15 DRIVE	24
15 FLUSHING AVENUE	1
15 ROAD	7
15 STREET	196
150 AVENUE	32
150 PLACE	37
150 ROAD	5
150 STREET	350
150TH ST	8
150TH STREET	11
151 AVENUE	12
151 STREET	2
151ST AVENUE	1
152 AVENUE	1
152 STREET	30
152ND STREET	1
153 AVENUE	8
153 COURT	1
153 LANE	8
153 PLACE	13
153 STREET	293
153RD ST	1
153RD STREET	2
154 PLACE	1
154 STREET	166
154TH STREET	3
155 AVENUE	6
155 STREET	208
155TH STREET	4
156 AVENUE	14
156 STREET	222
156TH ST	1
156TH STREET	3
157 AVENUE	30
157 STREET	161
157TH ST	2
157TH STREET	1
158 AVENUE	8
158 STREET	88
158TH STREET	2
159 AVENUE	5
159 ROAD	3
159 STREET	161
159 W. STREET	2
159TH ST	2
159TH STREET	2
15TH AVE	1
15TH AVENUE	16
15TH DRIVE	2
15TH ST	3
15TH STREET	11
16 AVENUE	75
16 DRIVE	1
16 ROAD	2
16 STREET	215
160 AVENUE	6
160 STREET	574
160TH ST	1
160TH STREET	3
161 AVENUE	1
161 PLACE	5
161 STREET	395
162 STREET	450
162ND STREET	4
163 AVENUE	1
163 DRIVE	17
163 ROAD	10
163 STREET	268
163RD ST	1
163RD STREET	3
164 AVENUE	9
164 DRIVE	6
164 PLACE	19
164 ROAD	4
164 STREET	387
164TH DRIVE	2
164TH STREET	2
165 STREET	373
165TH ST	4
165TH STREET	4
166 PLACE	2
166 STREET	137
166TH ST	1
167 STREET	177
167TH STREET	2
168 PLACE	220
168 STREET	257
168TH ST	2
168TH STREET	2
169 PLACE	109
169 STREET	257
169TH STREET	1
16TH AVENUE	4
16TH DR	1
16TH ST	2
16TH STREET	12
17 AVENUE	203
17 ROAD	28
17 STREET	210
170 STREET	393
170TH ST	3
170TH STREET	4
171 PLACE	67
171 STREET	267
171ST PLACE	3
172 STREET	324
173 STREET	200
173RD STREET	10
174 STREET	50
174TH STREET	2
175 PLACE	15
175 STREET	282
175TH STREET	1
176 PLACE	5
176 STREET	149
176TH STREET	2
177 PLACE	14
177 STREET	186
177TH PLACE	3
177TH STREET	2
178 PLACE	29
178 STREET	177
178TH STREET	1
179 PLACE	68
179 STREET	147
179TH PL	1
17TH AVE	1
17TH AVENUE	8
17TH ST	1
17TH STREET	4
18 AVENUE	254
18 STREET	165
180 STREET	115
181 PLACE	6
181 STREET	52
181ST ST	7
181ST STREET	1
182 PLACE	9
182 STREET	49
183 PLACE	14
183 STREET	65
183RD PLACE	1
183RD ST	2
183RD STREET	1
184 PLACE	74
184 STREET	127
184TH STREET	3
185 STREET	64
185TH STREET	2
186 LANE	3
186 STREET	31
187 PLACE	5
187 STREET	53
187TH STREET	1
188 STREET	49
188TH STREET	2
189 STREET	51
189TH ST	1
189TH STREET	3
18TH AVENUE	9
18TH ST	1
18TH STREET	10
19 73 STREET	1
19 AVENUE	91
19 LANE	2
19 ROAD	1
19 STREET	204
190 STREET	29
190TH STREET	1
191 STREET	66
191ST STREET	1
