0, 10001, 10036	1
0, 10002	1
0, 10007	1
0, 10014, 11229	1
0, 10018	1
0, 10019	2
0, 10019, 10036	1
0, 10032, 10033	1
0, 11101, 11222	1
0, 11221, 11237	1
0, 11222	3
0, 11363	2
0, 11375, 11418	1
00083	2
00083, 10001, 10002, 10016, 10018, 10019, 10023, 11201	1
00083, 10001, 10023	1
00083, 10001, 10023, 10025	2
00083, 10002, 10004, 10005, 10016, 10018, 10019, 10024, 10036, 10038, 11201	1
00083, 10003, 10004, 10010, 10011, 10017, 10022, 10044, 10065, 10280, 11101	1
00083, 10003, 10010, 10023	1
00083, 10003, 10012, 10019, 10022, 10065	1
00083, 10004, 10010, 10023	1
00083, 10010, 10011, 10013, 10022, 10023, 11201	1
00083, 10011, 10014	1
00083, 10011, 10019, 10022, 10035, 10065	1
00083, 10011, 10023, 11201, 11230	1
00083, 10013, 10036, 11101	1
00083, 10014, 10023, 10024	1
00083, 10016, 10017, 10023, 10036	1
00083, 10016, 10019, 10023, 10024, 10025, 10065	1
00083, 10019	3
00083, 10019, 10021, 10022, 10023, 10065	1
00083, 10019, 10021, 10025, 10029, 10075	1
00083, 10019, 10022, 10023	1
00083, 10019, 10022, 10028	1
00083, 10019, 10022, 10029, 10065	1
00083, 10019, 10022, 10065	1
00083, 10019, 10023	3
00083, 10019, 10023, 10024	1
00083, 10019, 10023, 10036	1
00083, 10019, 10023, 10065	1
00083, 10021	4
00083, 10021, 10023	2
00083, 10021, 10023, 10065	1
00083, 10021, 10024, 10025, 10075	1
00083, 10021, 10028	1
00083, 10021, 10028, 10075	3
00083, 10021, 10029, 10075	1
00083, 10021, 10036, 10065, 11101	2
00083, 10021, 10065, 10075	1
00083, 10021, 10075	1
00083, 10021, 11201	1
00083, 10022, 10023, 10065	1
00083, 10022, 10065	2
00083, 10023	13
00083, 10023, 10024	7
00083, 10023, 10024, 10025	2
00083, 10023, 10024, 10474	1
00083, 10023, 10025	1
00083, 10023, 10029	2
00083, 10023, 11222	1
00083, 10024	2
00083, 10024, 10025, 10029, 10128	1
00083, 10024, 10128	1
00083, 10025	4
00083, 10025, 10026	1
00083, 10025, 10027	1
00083, 10025, 10128	1
00083, 10028, 10075	2
00083, 10029	2
00083, 10029, 10065	1
00083, 10128	1
00083, 11101, 11201, 11237	1
10000, 10021, 10023, 10024, 10065, 10075	1
10000, 10023, 10024, 10025	1
10000, 10025	1
10001	910
10001, 10002	2
10001, 10002, 10003, 10004, 10010, 10011	1
10001, 10002, 10003, 10012	1
10001, 10002, 10003, 10012, 10014	1
10001, 10002, 10003, 10013	1
10001, 10002, 10004, 10016, 10038	1
10001, 10002, 10007, 10013	1
10001, 10002, 10009	1
10001, 10002, 10010, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036, 10119, 11201	1
10001, 10002, 10010, 10011, 10014, 10018, 10019, 10038, 11201	1
10001, 10002, 10010, 10011, 10038	1
10001, 10002, 10010, 10013, 10018, 11201	1
10001, 10002, 10010, 10013, 10036, 10038	1
10001, 10002, 10010, 10016, 10017, 10018, 10019, 10020, 10022, 10036, 10103, 10111, 10112, 11201	1
10001, 10002, 10010, 10016, 11211, 11249	1
10001, 10002, 10010, 10022, 10044, 10065, 11101	1
10001, 10002, 10011	1
10001, 10002, 10011, 10012	1
10001, 10002, 10011, 10012, 10014, 10018, 10036	1
10001, 10002, 10011, 10012, 10014, 10019, 10021, 10065	2
10001, 10002, 10011, 10013, 10038	1
10001, 10002, 10011, 10014, 10028, 10029, 10035, 10128	1
10001, 10002, 10011, 10014, 11211	1
10001, 10002, 10012	1
10001, 10002, 10012, 10014, 10023, 10065, 11201	1
10001, 10002, 10012, 10038, 11201	1
10001, 10002, 10013, 10017, 10038	1
10001, 10002, 10013, 10022, 10036	1
10001, 10002, 10013, 11201	1
10001, 10002, 10014	1
10001, 10002, 10016, 10036	1
10001, 10002, 10017, 10018, 10038	1
10001, 10002, 10018	1
10001, 10002, 11211, 11249	1
10001, 10003	6
10001, 10003, 10009	2
10001, 10003, 10009, 10010, 10016, 10017, 10018, 10019, 10020, 10022, 10036	1
10001, 10003, 10009, 10010, 10016, 10018, 10036	1
10001, 10003, 10009, 10011, 10014	1
10001, 10003, 10010	2
10001, 10003, 10010, 10011	4
10001, 10003, 10010, 10011, 10012, 10014	1
10001, 10003, 10010, 10011, 10012, 10016, 10022	1
10001, 10003, 10010, 10011, 10012, 10019	1
