zip
0	24
01020	1
01266	1
01801	4
01803	1
01945	2
02109	1
02110	1
02116	10
02118	4
02420	1
02445	1
03110	1
03458	1
03842	1
05303	1
05656	1
06058	1
06095	1
06281	2
06443	3
06510	1
06511	11
06524	1
06757	1
06783	2
06795	4
06807	10
06824	4
06825	1
06830	4
06831	2
06840	3
06873	2
06879	1
06880	10
06902	3
06903	1
07007	1
07010	1
07012	1
07024	14
07030	12
07035	1
07040	2
07041	1
07047	3
07054	5
07055	1
07057	4
07060	1
070632	1
07070	1
07071	1
07072	3
07078	9
07079	4
07080	1
07083	1
07090	2
07092	4
07094	17
07095	1
07096	1
07097	1
07102	2
07104	2
07109	13
07204	6
07205	9
07206	1
07207	1
07208	1
07302	3
07303	1
07306	1
07311	8
07407	1
07424	5
07432	2
07446	3
07450	1
07470	1
07474	1
07481	1
07512	6
07624	10
07626	2
07631	16
07632	29
07640	1
07643	1
07646	1
07648	1
07653	2
07661	1
07666	6
07670	1
07675	4
07702	1
07712	1
07728	4
07732	2
07733	2
07746	4
07753	2
07762	1
07920	3
07921	2
07928	1
07931	1
07936	8
07950	1
07960	14
07970	2
08048	1
08527	3
08540	1
08542	1
08701	14
08816	1
08818	4
08830	1
08854	3
08861	1
08882	1
08901	1
100	1
10000	73
10001	5865
10002	672
10003	9479
10003-1402	1
10004	1108
10005	1429
10006	659
10007	3038
10008	39
10009	262
1001	1
10010	4272
10011	6737
10012	9519
10013	9538
10013-0980	1
10014	8245
10015	45
10016	7643
10016-2203	1
10017	13837
10018	4253
10019	8753
1002	1
10020	459
10021	11193
10022	9283
10023	9588
10024	8850
10024-1011	1
10024-1705	3
10024-7160	1
10025	2878
10026	326
10027	938
10028	1752
10029	186
1003	2
10030	299
10030-1797	3
10031	807
10032	271
10033	103
10034	49
10035	124
10036	3067
10036-8502	1
10037	85
10038	2778
10039	86
10040	18
10041	89
10042	1
10044	50
10045	1
10046	1
10048	12
10050	1
10051	2
10052	3
10053	1
10054	2
10055	8
10056	4
10057	1
10058	3
10061	1
10062	5
10063	1
10064	2
10065	5272
10066	7
10067	1
10068	8
10069	24
10070	8
10072	1
10073	2
10074	1
10075	651
10076	1
10077	3
10078	2
10079	3
10080	1
10081	36
10082	1
10086	2
1009	1
10091	3
10093	1
10094	2
10096	1
10097	1
10100	6
10101	4
10102	1
10103	248
10104	71
10105	13
10106	120
10107	139
10108	7
10109	3
10110	289
10110-1799	4
10111	2321
10112	266
10113	27
10114	3
10115	19
10116	34
10117	14
10118	971
10119	266
10120	39
10121	16
10122	159
10123	373
10124	5
10125	8
10126	3
10127	4
10128	2982
10129	15
10130	2
10131	1
10140	2
10150	49
10151	205
10152	54
10153	215
10154	716
10155	336
10156	17
10157	3
10158	20
10159	29
10160	2
10163	33
10165	360
10166	126
10167	17
10168	348
10169	597
10170	915
10171	26
10172	229
10173	28
10174	246
10175	155
10176	73
10177	79
10178	29
10179	2
10180	3
10181	1
10185	3
10186	1
10188	4
10190	5
10199	3
10200	21
10201	7
10204	2
10207	1
10208	2
1021	1
10210	2
10211	1
10214	2
10215	1
10217	1
10218	2
1022	1
10220	5
10221	2
10222	1
10228	1
10230	2
10232	1
10233	1
10240	1
10241	1
10250	1
10253	1
10260	1
10266	2
10268	5
10271	40
10272	3
10274	17
10275	1
10276	27
10278	21
10279	111
10280	38
10281	81
10282	20
10286	62
103 16	1
10301	236
10302	36
10303	11
10304	151
10305	40
10306	123
10307	24
10308	5
10309	24
10310	33
10312	41
10314	150
10316	1
10321	2
10350	4
1038	1
10381	1
1039	1
10412	1
10421	5
10422	1
10428	1
10445	2
10446	2
10450	1
10451	112
10452	50
10453	65
10454	222
10455	113
10456	85
10457	50
10458	152
10459	68
10460	26
10461	43
10462	74
10463	127
10464	27
10465	6
10466	39
10467	34
10468	11
10469	14
10470	4
10471	491
10472	26
10473	62
10474	99
10475	15
10491	1
10502	3
10503	10
10504	15
10506	11
10507	32
10509	13
10510	23
10511	2
10512	2
10514	5
10520	3
10522	8
10523	25
10524	1
10526	2
10528	56
10530	530
10532	25
10533	3
10536	35
10538	40
1054	1
10541	3
10543	63
10549	70
10550	5
10552	9
10553	3
10560	6
10562	10
10566	2
10567	1
10570	3
10573	42
10576	22
10577	9
10580	69
10583	143
10587	1
10588	1
10589	2
10590	8
10591	84
10595	9
10597	2
10598	3
1060	3
10601	125
10603	8
10604	35
10605	60
10606	1
10607	8
10701	14
10704	96
10705	15
10706	7
10707	42
10708	59
10709	10
10710	13
1075	1
10801	641
10802	1
10803	22
10804	22
10805	1
10901	9
10911	1
10912	1
10913	2
10916	1
10920	12
10922	8
10925	1
10930	3
10940	2
1095	1
10950	5
10952	12
10956	32
10960	19
10962	14
10964	4
10965	10
10970	3
10974	2
10977	10
10980	1
10982	7
10987	5
10989	3
10990	9
10992	2
10994	19
10998	1
11001	94
11002	2
11003	17
11004	85
11005	13
11010	9
11011	1
11017	1
11020	30
11021	721
11022	38
11023	77
11024	49
11025	3
11027	1
1103	1
11030	220
11040	102
11042	144
11050	77
11100	4
11101	1314
11102	53
11103	122
11104	743
11105	88
11106	68
11109	3
11120	1
11136	1
11145	2
11200	6
11201	9820
11202	69
11203	45
11204	180
11205	1935
11206	66
11207	91
11208	31
11209	378
1121	1
11210	125
11211	458
11212	8
11213	437
11214	69
11215	4561
11216	947
11216-2103	2
11217	3490
11218	345
11219	331
11220	102
11221	59
11222	822
11223	124
11224	8
11225	981
11226	595
11227	5
11228	84
11229	100
11230	577
11231	1822
11232	117
11233	600
11234	147
11235	72
11236	55
11237	43
11238	3184
11239	14
11240	1
11241	161
11242	278
11243	7
11245	3
11248	2
11249	88
11251	9
11255	2
11301	2
11303	4
11305	1
11310	4
11312	1
11314	1
11317	1
11320	1
11321	1
11322	3
1133	1
11333	1
11335	1
11337	3
11346	2
11349	1
11351	1
11352	4
11353	1
11354	235
11355	41
11356	95
11357	148
11358	62
11359	2
11360	54
11361	142
11362	63
11363	1841
11364	79
11365	30
11366	22
11367	46
11368	415
11369	6
1137	1
11370	25
11371	6
11372	1743
11373	154
11374	366
11375	210
11376	2
11377	164
11378	107
11379	26
1138	1
11383	1
11385	319
11386	2
11387	1
11402	1
11411	1
11412	24
11413	4
11414	27
11415	42
11416	2
11417	19
11418	51
11419	17
11419-0906	1
11420	11
11421	12
11422	25
11423	46
11424	2
11426	6
11427	11
11428	16
11429	16
11430	1
11431	1
11432	162
11433	44
11434	82
11435	108
11501	22
11507	29
11509	20
11510	14
11514	42
11516	92
11518	7
11520	50
11530	134
11530-4435	2
11542	12
11545	28
11547	21
11550	33
11551	1
11552	3
11553	8
11554	9
11556	9
11557	21
11558	32
11559	36
11560	69
11561	40
11563	36
11565	9
11566	30
11568	30
11569	2
11570	57
11571	21
11572	14
11576	82
11577	30
11579	4
11580	31
11581	33
11582	18
11590	40
11596	12
11598	132
11601	3
11621	2
11631	1
11647	2
11681	1
11691	6
11692	4
11693	1
11694	36
11697	3
11701	27
11702	3
11703	2
11706	13
11709	1
11710	27
11713	5
11715	1
11717	9
11720	2
11721	3
11724	1
11725	35
11726	1
11727	1
11729	3
11730	22
11731	1
11732	1
11733	19
11735	24
11738	2
11740	2
11741	11
11743	39
11746	65
11747	69
11749	2
11752	2
11753	58
11754	3
11756	11
11757	2
11758	14
11758-4431	1
11762	1
11763	9
11764	1
11766	1
11767	7
11768	34
11771	12
11777	6
11778	3
11779	3
11782	2
11783	13
11786	4
11787	33
11788	30
11790	3
11791	42
11792	1
11793	3
11795	12
11797	16
11801	16
11802	2
11803	121
11804	1
11901	6
11930	11
11932	14
11933	6
11935	2
11937	6
11939	1
11942	6
11944	4
11946	17
11947	2
11949	9
11950	1
11952	8
11953	2
11954	2
11957	1
11958	3
11959	1
11963	29
11964	4
11965	9
11968	10
11969	2
11971	6
11975	2
11976	6
11977	8
11978	4
12010	3
12018	1
12054	2
12075	1
12078	1
12106	1
12110	19
12120	1
12147	2
12165	2
12167	1
12184	1
12200	1
12201	2
12202	1
12203	2
12207	17
12208	1
12210	4
12215	1
12217	1
12222	1
12229	1
12230	1
12234	2
12242	8
12246	5
12309	4
12401	5
12404	2
12414	2
12424	2
12457	1
12461	1
12471	2
12477	5
12484	1
12498	3
12502	1
12503	1
12514	2
12528	1
12529	4
12534	1
12545	4
12546	2
12549	3
12550	3
12563	1
12564	1
12567	3
12570	1
12571	2
12572	10
12578	2
12581	4
12589	2
12590	34
12601	2
1262	2
12750	1
12752	2
12758	6
12779	3
12790	1
12804	1
12834	3
12865	1
12926	3
12946	1
12950	1
12996	1
13159	1
13202	1
13214	2
13244	5
13326	1
13363	1
13410	1
13479	1
13501	1
13502	3
13503	4
13601	3
1373	4
13733	1
13747	1
13856	3
14043	1
14048	1
14069	1
14094	2
14267	1
14432	1
14526	5
14534	2
14610	5
14618	5
14850	3
15009	1
15010	1
15217	2
15219	13
15232	2
15301	1
1590	1
16801	1
17102	2
1730	3
1778	2
18015	7
18017	6
18018	22
1803	4
18034	1
18051	1
18058	1
1810	1
18105	1
18106	1
18301	2
18302	1
18324	1
18325	3
18343	4
18370	1
18428	2
1843	2
18443	1
18703	1
1879	1
18840	6
18920	1
19004	1
19010	6
19020	1
19027	3
19028	2
19046	4
19067	1
19085	12
19102	6
19103	9
19106	12
19107	1
19126	1
19127	4
19130	4
19143	2
1915	3
19312	7
19320	2
19402	1
19406	3
1945	3
19462	23
1949	1
1950	1
19610	1
19701	1
19801	5
19806	1
19807	3
19808	4
19901	3
19930	2
19945	1
20000	1
20001	3
20002	7
20003	5
20004	1
20005	2
20007	1
20008	4
20009	8
20011	1
20013	3
20015	1
20016	10
20024	1
20036	8
20037	2
20115	2
20118	3
20186	1
20191	1
20210	2
20211	1
2026	6
20260	2
2027	2
2043	7
20445	1
2054	1
20607	5
2062	6
20703	1
20782	2
20814	45
20815	11
20816	1
20817	20
20833	1
20852	9
20854	1
20855	4
20877	2
20886	4
20903	1
20906	5
20910	18
21044	3
2108	5
21085	2
2109	4
21093	1
21117	1
2114	3
2116	7
2118	2
21208	6
21209	2
21210	1
21218	2
21223	1
21230	2
2128	4
2132	1
2134	1
2138	9
2139	2
2140	2
2142	2
21613	5
21635	9
21663	6
21702	1
21704	1
21842	4
22030	1
22032	1
22033	3
22042	1
22066	1
2210	3
22101	4
22102	3
22103	2
22117	1
2212	2
22151	1
22180	1
22192	1
22201	7
22209	2
22307	1
22314	1
22554	4
22626	3
22646	30
22903	1
23059	3
23168	3
23219	2
23227	2
23310	1
23451	3
23452	3
23456	1
23510	1
23664	1
2445	2
2454	1
24740	1
2478	6
2481	12
2557	2
2564	1
2568	4
2575	2
2675	3
27106	2
27410	1
27609	1
27614	1
27615	15
27705	3
27707	4
2771	8
28002	1
28111	1
28202	4
28216	3
28262	1
28277	1
2840	7
28461	3
2860	1
28806	1
2886	1
2895	1
2905	1
2906	3
2909	2
2920	8
29451	1
29602	4
29716	1
30005	2
30076	10
30096	1
30253	1
30305	4
30316	1
30318	4
30319	3
30327	2
30328	1
30339	4
30342	4
30346	2
3102	1
3110	1
31320	2
31401	15
31412	13
32004	1
32073	4
32082	1
32092	1
32124	1
32137	2
32233	1
32250	1
32312	1
32506	1
32701	6
32801	1
32810	2
32819	1
32903	1
32937	1
32963	4
32966	1
33008	3
33009	6
33019	2
33021	11
33030	3
33037	2
3304	1
33040	2
33062	7
33063	4
33066	1
33070	1
33126	2
33127	1
33131	33
33133	4
33134	9
33135	1
33137	2
33139	18
33140	15
33141	3
33143	5
33147	1
33149	19
33155	1
33160	2
33162	1
33180	1
33181	1
33182	1
33186	1
33216	2
33239	1
33301	12
33302	7
33304	4
33311	4
33313	1
33316	1
33322	1
33326	1
33330	5
33332	6
33401	11
33410	13
33412	6
33418	2
33431	1
33432	1
33433	5
33434	4
33437	9
33445	1
33446	5
33449	1
33455	2
33458	13
33462	1
33467	5
33477	2
33480	29
33481	1
33487	9
33496	7
33602	6
33712	1
33715	8
33880	1
33924	1
33952	1
33954	1
33999	1
34104	1
34109	1
34110	4
34228	3
34229	2
34231	1
34235	1
34236	1
34242	2
34243	2
34461	1
34465	2
34470	6
3450	1
3458	1
34683	1
34711	1
34734	1
34986	1
34987	1
34994	11
34997	1
35653	2
3602	2
36628	1
36695	1
37209	1
3755	1
40059	1
40202	6
4116	1
43026	1
43054	1
43206	42
43215	2
43219	3
43230	1
43240	16
44114	14
44118	1
44124	8
44139	4
44145	3
45202	19
45220	4
45414	1
4609	2
4627	2
46515	1
46748	3
47901	6
48009	3
48025	1
48103	3
48104	1
48108	3
48126	5
48197	2
48226	1
48234	2
4843	2
48843	2
50112	1
5042	1
5049	1
5143	1
5154	1
5155	1
5201	1
52411	1
52499	2
52556	6
5301	1
53018	1
53023	1
53044	2
53151	1
53202	6
53562	1
55012	3
55104	3
55116	4
55305	4
55402	9
55423	1
5647	2
5656	1
5658	1
5744	2
6001	3
60015	1
6002	1
60022	2
60040	1
60043	1
60047	4
60091	7
60129	1
60140	1
60179	4
60305	2
6033	6
6040	1
60446	1
60523	7
6058	1
60603	11
60606	22
60607	2
60610	11
60611	47
60614	7
60615	3
60622	2
60640	3
60646	5
60654	1
60657	7
6069	4
6106	6
6117	10
6280	4
6281	9
63144	1
6339	8
6371	2
6390	1
6410	1
64152	15
6430	26
6443	17
6457	1
6460	1
6478	1
6484	1
6488	2
